COMPANY,ticker,ticker1
Emami Ltd,531162,EMAMILTD.NS
Endurance Technologies Ltd,540153,ENDURANCE.NS
Engineers India Ltd,532178,ENGINERSIN.NS
Equitas Holdings Ltd,539844,EQUITAS.NS
Eris Lifesciences Ltd,540596,ERIS.NS
Escorts Ltd,500495,ESCORTS.NS
Essel Propack Ltd.,500135,EPL.NS
Eveready Industries India Ltd,531508,EVEREADY.NS
Exide Industries Ltd,500086,EXIDEIND.NS
FDC Ltd,531599,FDC.NS
Federal Bank Ltd,500469,FEDERALBNK.NS
Finolex Cables Ltd,500144,FINCABLES.NS
Firstsource Solutions Ltd,532809,FSL.NS
Force Motors Ltd,500033,FORCEMOT.NS
Fortis Healthcare Ltd.,532843,FORTIS.NS
Future Consumer Ltd,533400,FCONSUMER.NS
Future Lifestyle Fashions Limited,536507,FLFL.NS
Future Retail Ltd,540064,FRETAIL.NS
Gail India Ltd,532155,GAIL.NS
Galaxy Surfactants Ltd,540935,GALAXYSURF.NS
Gateway Distriparks Ltd,532622,GDL.NS
Gayatri Projects Ltd,532767,GAYAPROJ.NS
GE Power India Ltd,532309,GEPIL.NS
GE T&D India Ltd,522275,GET&D.NS
General Insurance Corporation of India,540755,GICRE.NS
GHCL Ltd,500171,GHCL.NS
GIC Housing Finance Ltd,511676,GICHSGFIN.NS
Gillette India Ltd,507815,GILLETTE.NS
Glenmark Pharmaceuticals Ltd,532296,GLENMARK.NS
GMR Infrastructure Ltd,532754,GMRINFRA.NS
Godfrey Phillips India Ltd,500163,GODFRYPHLP.NS
Godrej Agrovet Ltd,540743,GODREJAGRO.NS
Godrej Consumer Products Ltd,532424,GODREJCP.NS
Godrej Industries Ltd,500164,GODREJIND.NS
Godrej Properties Ltd,533150,GODREJPROP.NS
Granules India Ltd,532482,GRANULES.NS
Graphite India Ltd.,509488,GRAPHITE.NS
Grasim Industries Ltd,500300,GRASIM.NS
Great Eastern Shipping Co Ltd/The,500620,GESHIP.NS
Greaves Cotton Ltd.,501455,GREAVESCOT.NS
Greenply Industries Ltd.,526797,GREENPLY.NS
Grindwell Norton Ltd,506076,GRINDWELL.NS
Gujarat Alkalies & Chemicals Ltd.,530001,GUJALKALI.NS
Gujarat Fluorochemicals,500173,GFLLIMITED.NS
Gujarat Mineral Development Corp Ltd,532181,GMDCLTD.NS
Gujarat Narmada Valley Fertilizers and Chemicals Limited,500670,GNFC.NS
Gujarat Pipavav Port Ltd,533248,GPPL.NS
Gujarat State Fertilisers & Chemicals Ltd,500690,GSFC.NS
Gujarat State Petronet Ltd,532702,GSPL.NS
Gulf Oil Lubricants India Ltd,538567,GULFOILLUB.NS
Hatsun Agro Products Ltd,531531,HATSUN.NS
